Date,cw,R676,cwdr,Rdr,P,R632,R664
6/17/2022 13:30,0.884013142,1.111801242,-0.012460058,0.010802469,0.875090514,1.111324376,1.112054329
6/20/2022 13:30,0.868545288,1.130434783,-0.017497312,0.016793894,0.867125272,1.128598848,1.130730051
6/21/2022 13:30,0.888951687,1.102484472,0.023494916,-0.025525526,0.884866039,1.101727447,1.101867572
6/22/2022 13:30,0.867424536,1.127329193,-0.024216334,0.023112481,0.865314989,1.124760077,1.127334465
6/23/2022 13:30,0.857742433,1.133540373,-0.011161897,0.006024097,0.853729182,1.134357006,1.134125637
6/24/2022 13:30,0.86491344,1.130434783,0.008360327,-0.005988024,0.855539464,1.126679463,1.127334465
6/27/2022 13:30,0.878742836,1.105590062,0.015989341,-0.018072289,0.875814627,1.103646833,1.106960951
6/28/2022 13:30,0.872633802,1.118012422,-0.006952015,0.007668711,0.867487328,1.113243762,1.115449915
6/29/2022 13:30,0.861342066,1.124223602,-0.012939834,0.00761035,0.860246198,1.124760077,1.123938879
6/30/2022 13:30,0.837920996,1.152173913,-0.027191369,0.025679759,0.83852281,1.151631478,1.152801358
7/1/2022 13:30,0.81064257,1.192546584,-0.032554889,0.030927835,0.807748009,1.190019194,1.188455008
7/4/2022 13:30,0.803520169,1.198757764,-0.008786119,0.004285715,0.799782766,1.195777351,1.193548387
7/5/2022 13:30,0.810988461,1.183229814,0.009294467,-0.00853485,0.803765387,1.184261036,1.18336163
7/6/2022 13:30,0.79043342,1.214285714,-0.025345664,0.024390244,0.788196959,1.213051823,1.212224109
7/7/2022 13:30,0.810257683,1.186335404,0.025080244,-0.023809524,0.81173063,1.182341651,1.18336163
7/8/2022 13:30,0.817506685,1.173913043,0.008946539,-0.010043042,0.820057929,1.170825336,1.17147708
7/11/2022 13:30,0.810498449,1.183229814,-0.008572695,0.007246377,0.812816799,1.180422265,1.179966044
7/12/2022 13:30,0.788461506,1.214285714,-0.027189372,0.025899281,0.79326575,1.211132438,1.210526316
7/13/2022 13:30,0.809602639,1.177018634,0.026813145,-0.028050491,0.821506155,1.174664107,1.176570458
7/14/2022 13:30,0.816036651,1.170807453,0.007947123,-0.005772005,0.825488776,1.166986564,1.169779287
7/15/2022 13:30,0.822372322,1.161490683,0.007763954,-0.010159652,0.836350471,1.157389635,1.157894737
7/18/2022 13:30,0.831924998,1.155279503,0.011616,-0.005865103,0.826937002,1.147792706,1.151103565
7/19/2022 13:30,0.830480398,1.149068323,-0.001736455,-0.004424778,0.827661115,1.143953935,1.146010187
7/20/2022 13:30,0.832692513,1.142857143,0.002663658,-0.004444445,0.833091962,1.140115163,1.140916808
7/21/2022 13:30,0.844249319,1.130434783,0.01387884,-0.011904762,0.842505431,1.126679463,1.127334465
7/22/2022 13:30,0.844908319,1.130434783,0.000780575,0,0.845763939,1.126679463,1.127334465
7/25/2022 13:30,0.844171889,1.124223602,-0.000871609,0,0.845039826,1.122840691,1.127334465
7/26/2022 13:30,0.836849979,1.136645963,-0.008673483,0.006024097,0.83743664,1.13243762,1.134125637
7/27/2022 13:30,0.843338814,1.130434783,0.00775388,-0.005988024,0.845039826,1.124760077,1.127334465
7/28/2022 13:30,0.841660794,1.130434783,-0.001989734,-0.003012048,0.846488052,1.124760077,1.123938879
7/29/2022 13:30,0.847774348,1.118012422,0.00726368,-0.006042296,0.854453295,1.115163148,1.117147708
8/1/2022 13:30,0.846735547,1.121118012,-0.001225328,0.001519757,0.851918899,1.117082534,1.118845501
8/2/2022 13:30,0.833484331,1.139751553,-0.01564977,0.015174507,0.836712527,1.134357006,1.13582343
8/3/2022 13:30,0.835168003,1.139751553,0.00202004,0,0.841781318,1.13243762,1.13582343
8/4/2022 13:30,0.830939324,1.139751553,-0.005063267,0.001494768,0.843953657,1.13243762,1.137521222
8/5/2022 13:30,0.849807302,1.111801242,0.022706806,-0.026865671,0.865314989,1.103646833,1.106960951
8/8/2022 13:30,0.848923925,1.111801242,-0.001039502,0.003067485,0.863504707,1.107485605,1.110356537
8/9/2022 13:30,0.850612119,1.114906832,0.001988628,-0.001529052,0.862780594,1.105566219,1.108658744
8/10/2022 13:30,0.844323923,1.121118012,-0.007392554,0.006125574,0.853729182,1.113243762,1.115449915
8/11/2022 13:30,0.858952484,1.099378882,0.017325768,-0.01674277,0.86929761,1.092130518,1.096774194
8/12/2022 13:30,0.864102406,1.093167702,0.005995585,-0.007739939,0.874728458,1.084452975,1.088285229
8/15/2022 13:30,0.87135819,1.080745342,0.008396903,-0.009360374,0.8826937,1.074856046,1.078098472
8/16/2022 13:30,0.871540178,1.080745342,0.000208856,0.001574803,0.884141926,1.076775432,1.079796265
8/17/2022 13:30,0.874076707,1.080745342,0.002910398,-0.004716981,0.884503983,1.074856046,1.074702886
8/18/2022 13:30,0.870194484,1.083850932,-0.004441513,0.006319116,0.878711079,1.076775432,1.081494058
8/19/2022 13:30,0.870873831,1.083850932,0.000780684,-0.003139718,0.880159305,1.076775432,1.078098472
8/22/2022 13:30,0.863474491,1.093167702,-0.008496455,0.012598425,0.867487328,1.088291747,1.091680815
8/23/2022 13:30,0.853189906,1.105590062,-0.0119107,0.007776049,0.855901521,1.099808061,1.100169779
8/24/2022 13:30,0.851680874,1.102484472,-0.001768693,0.00154321,0.853729182,1.101727447,1.101867572
8/25/2022 13:30,0.859076258,1.093167702,0.00868328,-0.009244992,0.861694424,1.090211132,1.091680815
8/26/2022 13:30,0.863507271,1.086956522,0.005157881,-0.00622084,0.866039102,1.084452975,1.084889643
8/29/2022 13:30,0.843598797,1.114906832,-0.023055364,0.026604069,0.843953657,1.113243762,1.113752122
8/30/2022 13:30,0.845149651,1.111801242,0.001838379,-0.00457317,0.845401883,1.107485605,1.108658744
8/31/2022 13:30,0.853164473,1.102484472,0.009483316,-0.007656968,0.851556843,1.097888676,1.100169779
9/1/2022 13:30,0.83657191,1.127329193,-0.019448257,0.020061729,0.833816075,1.120921305,1.122241087
9/2/2022 13:30,0.829291258,1.136645963,-0.00870296,0.007564296,0.824764663,1.130518234,1.130730051
9/5/2022 13:30,0.828616433,1.130434783,-0.000813737,0.001501502,0.826574946,1.130518234,1.132427844
9/6/2022 13:30,0.829526373,1.133540373,0.001098144,-0.004497751,0.832005793,1.130518234,1.127334465
9/7/2022 13:30,0.814427583,1.155279503,-0.018201701,0.019578313,0.812454743,1.147792706,1.149405772
9/8/2022 13:30,0.824226113,1.139751553,0.012031187,-0.010339734,0.818247647,1.138195777,1.137521222
9/12/2022 13:30,0.836886716,1.118012422,0.015360594,-0.020895522,0.835626358,1.115163148,1.113752122
9/13/2022 13:30,0.841802654,1.114906832,0.005874078,-0.00304878,0.839971036,1.111324376,1.110356537
9/14/2022 13:30,0.828458748,1.133540373,-0.015851585,0.019877676,0.822954381,1.130518234,1.132427844
9/15/2022 13:30,0.829121704,1.130434783,0.000800229,-0.005997002,0.824402607,1.128598848,1.125636672
9/16/2022 13:30,0.823001932,1.142857143,-0.00738103,0.012066365,0.814989138,1.138195777,1.139219015
9/19/2022 13:30,0.815310959,1.145962733,-0.009345024,0.001490313,0.811368574,1.142034549,1.140916808
